AgroClimaticZone,District,Station,Item,Year,avg_temp,average_rain_fall_mm_per_year,avg_humidity_percent,wind_speed_m_s,solar_radiation_mj_m2,soil_moisture_percent,soil_ph,organic_carbon_percent,fertilizer_n_kg_per_ha,fertilizer_p_kg_per_ha,fertilizer_k_kg_per_ha,pesticides_tonnes,rainfall_variability,drought_flag,flood_flag,hg_ha_yield
Hill Zone,Darjeeling,Darjeeling North,Jute,2001,18.46,3116.7,97.0,2.65,15.59,45.0,6.05,0.857,52.4,35.9,59.9,0.856,14.33,0,0,330.6
Hill Zone,Darjeeling,Darjeeling North,Jute,2002,17.49,3129.0,88.6,2.28,16.05,45.0,6.84,0.479,158.3,44.3,14.2,0.186,27.59,0,0,241.9
Hill Zone,Darjeeling,Darjeeling North,Jute,2003,17.96,2939.3,92.5,3.55,17.75,45.0,6.3,0.18,135.3,48.4,41.4,1.37,16.78,0,0,437.3
Hill Zone,Darjeeling,Darjeeling North,Jute,2004,18.69,2938.3,97.0,2.18,21.68,45.0,6.43,0.772,126.9,50.0,58.4,0.832,22.06,0,0,439.3
Hill Zone,Darjeeling,Darjeeling North,Jute,2005,18.84,3207.0,97.0,2.31,16.41,45.0,6.04,0.738,155.9,61.5,20.9,0.939,24.64,0,0,340.0
Hill Zone,Darjeeling,Darjeeling North,Jute,2006,19.99,3255.0,97.0,2.42,16.49,45.0,6.44,0.756,122.9,49.8,46.1,1.019,8.68,0,1,313.2
Hill Zone,Darjeeling,Darjeeling North,Jute,2007,17.92,3067.1,97.0,2.43,15.42,45.0,6.55,0.324,110.8,35.0,70.8,0.768,16.09,0,0,315.2
Hill Zone,Darjeeling,Darjeeling North,Jute,2008,18.62,3101.5,97.0,2.77,20.55,45.0,5.92,0.991,131.2,72.5,32.3,1.15,20.95,0,0,379.2
Hill Zone,Darjeeling,Darjeeling North,Jute,2009,21.38,3245.8,97.0,2.75,20.79,45.0,6.7,0.897,154.7,33.1,38.0,0.624,19.06,0,1,465.1
Hill Zone,Darjeeling,Darjeeling North,Jute,2010,19.62,2875.3,96.5,3.33,16.47,45.0,6.56,0.29,134.0,61.5,53.8,0.612,13.87,0,0,520.6
Hill Zone,Darjeeling,Darjeeling North,Jute,2011,19.21,3132.1,97.0,3.87,21.98,45.0,6.08,0.997,101.1,80.2,69.3,0.743,16.86,0,0,411.9
Hill Zone,Darjeeling,Darjeeling North,Jute,2012,18.01,2891.0,96.1,3.21,16.72,45.0,6.18,0.381,155.1,13.2,35.5,1.074,10.1,0,0,442.7
Hill Zone,Darjeeling,Darjeeling North,Jute,2013,20.37,2918.1,97.0,1.84,19.58,45.0,6.52,0.927,124.7,79.6,54.8,0.546,20.04,0,0,646.0
Hill Zone,Darjeeling,Darjeeling North,Jute,2014,17.43,3422.4,97.0,2.87,15.37,45.0,6.56,0.589,113.0,17.2,65.7,0.571,5.38,0,1,128.2
Hill Zone,Darjeeling,Darjeeling North,Jute,2015,18.13,3240.7,97.0,2.81,15.18,45.0,6.68,1.045,80.1,67.3,30.9,1.079,22.53,0,1,196.8
Hill Zone,Darjeeling,Darjeeling North,Jute,2016,17.83,2846.9,88.8,2.1,15.17,44.9,6.46,0.762,71.0,45.2,45.3,0.835,14.24,0,0,462.3
Hill Zone,Darjeeling,Darjeeling North,Jute,2017,20.03,3270.6,97.0,4.0,23.26,45.0,6.35,0.89,86.4,62.4,45.9,0.692,17.03,0,1,281.9
Hill Zone,Darjeeling,Darjeeling North,Jute,2018,18.53,2654.6,97.0,3.66,21.71,45.0,6.9,0.906,140.7,71.7,31.4,1.031,15.19,0,0,665.8
Hill Zone,Darjeeling,Darjeeling North,Jute,2019,17.9,3211.0,97.0,1.65,23.25,45.0,6.21,0.558,107.9,72.7,39.3,0.569,20.44,0,0,225.0
Hill Zone,Darjeeling,Darjeeling North,Jute,2020,19.34,3378.3,97.0,3.15,19.48,45.0,6.47,0.484,103.3,53.7,63.9,1.388,20.88,0,1,253.0
Hill Zone,Darjeeling,Darjeeling North,Jute,2021,18.41,3068.1,97.0,2.83,17.83,45.0,6.84,0.708,108.5,56.9,70.3,0.852,28.49,0,0,392.8
Hill Zone,Darjeeling,Darjeeling North,Jute,2022,19.3,3314.6,97.0,2.02,17.2,45.0,6.66,0.653,127.0,69.9,5.0,0.993,7.55,0,1,261.9
Hill Zone,Darjeeling,Darjeeling North,Jute,2023,18.3,3135.2,97.0,1.4,18.57,45.0,5.45,0.78,111.0,45.8,34.2,1.864,16.0,0,0,309.7
Hill Zone,Darjeeling,Darjeeling North,Jute,2024,18.27,3027.0,97.0,2.54,14.86,45.0,6.16,0.378,85.5,48.1,57.7,1.045,16.33,0,0,358.9
Hill Zone,Darjeeling,Darjeeling North,Potato,2000,18.81,3580.2,97.0,2.93,20.18,45.0,6.49,0.683,95.9,65.2,60.4,1.239,17.21,0,1,9843.6
Hill Zone,Darjeeling,Darjeeling North,Potato,2001,21.19,2857.4,97.0,3.22,18.45,45.0,6.49,0.801,148.5,51.0,48.0,0.883,15.94,0,1,9482.0
Hill Zone,Darjeeling,Darjeeling North,Potato,2002,17.39,3282.5,97.0,3.79,21.83,45.0,7.16,0.507,108.4,88.2,28.9,1.152,20.05,0,1,8436.3
Hill Zone,Darjeeling,Darjeeling North,Potato,2003,17.7,3208.4,97.0,3.33,21.67,45.0,6.15,0.586,74.5,34.9,46.3,0.838,8.45,0,1,7783.2
Hill Zone,Darjeeling,Darjeeling North,Potato,2004,19.27,2833.8,92.0,3.71,21.95,43.57,5.72,0.725,74.3,50.4,38.2,1.068,3.19,0,1,7680.8
Hill Zone,Darjeeling,Darjeeling North,Potato,2005,17.38,3344.5,97.0,1.4,19.48,45.0,6.28,0.584,123.1,76.8,47.3,1.06,18.07,0,1,8520.4
Hill Zone,Darjeeling,Darjeeling North,Potato,2006,17.75,3170.2,97.0,2.43,20.79,45.0,6.84,0.335,126.8,44.4,32.9,0.644,25.63,0,1,8304.8
Hill Zone,Darjeeling,Darjeeling North,Potato,2007,18.0,2849.6,97.0,2.28,22.98,44.75,5.49,0.599,110.3,57.4,56.3,1.522,16.31,0,1,8928.7
Hill Zone,Darjeeling,Darjeeling North,Potato,2008,16.88,3167.3,97.0,2.42,21.54,45.0,7.16,0.717,78.3,43.5,22.0,0.379,19.96,0,1,7359.2
Hill Zone,Darjeeling,Darjeeling North,Potato,2009,21.0,3098.6,97.0,1.82,20.96,45.0,6.1,0.788,126.8,21.3,56.1,0.941,16.01,0,1,8998.5
Hill Zone,Darjeeling,Darjeeling North,Potato,2010,20.8,3464.5,97.0,1.8,16.04,45.0,5.8,0.506,55.9,88.4,60.9,1.038,19.68,0,1,8779.2
Hill Zone,Darjeeling,Darjeeling North,Potato,2011,18.47,3252.9,97.0,3.46,16.52,45.0,7.05,0.621,126.6,47.5,11.2,1.064,10.28,0,1,9445.1
Hill Zone,Darjeeling,Darjeeling North,Potato,2012,17.23,2682.4,97.0,2.9,18.32,44.3,6.84,0.357,96.1,40.8,39.3,1.156,14.56,0,1,8289.4
Hill Zone,Darjeeling,Darjeeling North,Potato,2013,19.73,2717.7,88.8,2.33,16.22,45.0,5.43,0.794,132.3,52.0,24.3,0.902,15.14,0,1,9399.7
Hill Zone,Darjeeling,Darjeeling North,Potato,2014,18.9,3278.8,97.0,3.61,11.09,45.0,6.65,0.348,132.1,33.1,46.4,0.626,15.71,0,1,8528.8
Hill Zone,Darjeeling,Darjeeling North,Potato,2015,18.91,3023.6,97.0,2.61,15.09,45.0,6.81,0.895,163.6,38.1,60.9,1.242,18.36,0,1,10216.7
Hill Zone,Darjeeling,Darjeeling North,Potato,2016,15.75,2979.3,97.0,1.35,16.39,45.0,6.69,0.976,57.1,55.8,57.9,0.506,18.12,0,1,7672.9
Hill Zone,Darjeeling,Darjeeling North,Potato,2017,20.54,3235.4,87.8,2.51,19.16,45.0,6.37,1.267,103.6,37.5,48.6,0.805,16.5,0,1,9650.5
Hill Zone,Darjeeling,Darjeeling North,Potato,2018,19.97,3165.9,95.3,2.51,19.42,45.0,6.97,0.805,80.3,60.8,74.8,1.368,18.02,0,1,10564.0
Hill Zone,Darjeeling,Darjeeling North,Potato,2019,18.41,2778.2,97.0,2.77,19.54,45.0,6.56,0.547,124.2,70.0,44.1,1.144,7.73,0,1,8910.9
Hill Zone,Darjeeling,Darjeeling North,Potato,2020,20.77,3516.5,97.0,2.53,14.2,45.0,6.79,0.354,126.8,63.8,51.6,0.562,21.61,0,1,7767.9
Hill Zone,Darjeeling,Darjeeling North,Potato,2021,20.85,3142.4,95.2,3.54,21.46,45.0,7.5,0.449,119.4,76.3,10.9,1.2,17.97,0,1,9006.0
Hill Zone,Darjeeling,Darjeeling North,Potato,2022,18.05,3187.5,96.2,1.92,16.66,45.0,7.19,0.384,87.4,49.3,45.1,1.138,23.27,0,1,8286.8
Hill Zone,Darjeeling,Darjeeling North,Potato,2023,18.85,3119.3,97.0,3.09,16.45,44.8,7.47,0.84,117.9,61.1,37.2,0.6,16.37,0,1,8541.8
Hill Zone,Darjeeling,Darjeeling North,Potato,2024,18.61,2776.1,94.8,3.0,16.52,45.0,5.36,0.608,106.3,32.9,19.1,1.024,13.5,0,1,8656.0
Hill Zone,Darjeeling,Darjeeling North,Sugarcane,2000,18.12,3254.6,97.0,1.55,17.74,45.0,6.73,0.56,98.2,70.5,62.5,1.128,24.59,0,1,9100.2
Hill Zone,Darjeeling,Darjeeling North,Sugarcane,2001,19.46,3313.3,97.0,2.64,18.43,45.0,6.41,0.603,99.1,54.4,48.7,0.561,6.48,0,1,11383.0
Hill Zone,Darjeeling,Darjeeling North,Sugarcane,2002,16.87,3170.8,97.0,3.41,23.01,45.0,6.12,0.415,86.2,55.7,14.0,0.923,18.29,0,1,5978.4
Hill Zone,Darjeeling,Darjeeling North,Sugarcane,2003,18.3,3134.7,97.0,2.28,12.68,45.0,7.17,0.683,121.0,37.3,66.5,0.67,23.17,0,1,8944.1
Hill Zone,Darjeeling,Darjeeling North,Sugarcane,2004,17.64,3347.5,97.0,2.73,19.36,45.0,6.21,0.743,97.9,56.2,35.0,0.453,14.32,0,1,6676.8
Hill Zone,Darjeeling,Darjeeling North,Sugarcane,2005,18.74,3383.7,95.6,2.69,11.36,45.0,6.15,0.199,54.3,57.8,46.2,0.866,13.54,0,1,9973.9
Hill Zone,Darjeeling,Darjeeling North,Sugarcane,2006,18.58,2913.0,97.0,3.03,16.89,45.0,6.48,0.779,117.0,36.5,59.6,0.948,12.3,0,1,10828.6
Hill Zone,Darjeeling,Darjeeling North,Sugarcane,2007,19.84,3026.3,97.0,3.06,18.38,45.0,6.72,0.838,136.0,84.1,50.5,1.133,27.9,0,1,14701.3
Hill Zone,Darjeeling,Darjeeling North,Sugarcane,2008,20.73,3510.2,97.0,3.89,20.56,45.0,6.97,0.715,122.4,57.8,65.4,1.066,14.19,0,1,16532.8
Hill Zone,Darjeeling,Darjeeling North,Sugarcane,2009,19.65,2944.4,96.6,2.33,16.18,45.0,6.91,1.028,145.8,73.4,62.1,1.301,16.1,0,1,16147.7
Hill Zone,Darjeeling,Darjeeling North,Sugarcane,2010,19.23,3081.5,97.0,2.25,17.2,45.0,6.66,0.646,113.2,61.1,55.9,0.722,17.72,0,1,10517.6
Hill Zone,Darjeeling,Darjeeling North,Sugarcane,2011,16.47,2665.0,97.0,1.32,19.42,45.0,6.17,0.976,165.4,72.0,80.6,1.087,13.99,0,0,14294.3
Hill Zone,Darjeeling,Darjeeling North,Sugarcane,2012,18.45,2812.3,89.6,4.22,16.39,45.0,6.07,0.679,103.1,47.8,27.0,0.479,13.96,0,0,14248.3
Hill Zone,Darjeeling,Darjeeling North,Sugarcane,2013,21.27,3356.5,97.0,2.95,17.78,45.0,6.41,0.224,101.5,84.6,50.2,1.244,16.18,0,1,16071.9
Hill Zone,Darjeeling,Darjeeling North,Sugarcane,2014,18.49,3024.7,97.0,4.0,15.84,45.0,6.34,0.585,73.4,57.1,50.8,1.023,11.27,0,1,9985.8
Hill Zone,Darjeeling,Darjeeling North,Sugarcane,2015,17.14,3327.3,97.0,2.43,16.73,45.0,5.88,0.302,162.8,60.1,49.4,1.538,17.93,0,1,7059.1
Hill Zone,Darjeeling,Darjeeling North,Sugarcane,2016,19.11,3391.3,97.0,2.84,17.33,45.0,7.0,0.241,107.1,48.1,41.0,0.317,22.94,0,1,8741.4
Hill Zone,Darjeeling,Darjeeling North,Sugarcane,2017,18.87,3002.9,90.2,2.31,12.57,45.0,6.26,0.656,112.6,53.1,77.6,1.041,11.23,0,1,11223.0
Hill Zone,Darjeeling,Darjeeling North,Sugarcane,2018,18.43,3078.1,97.0,2.02,23.05,45.0,6.25,0.606,104.5,80.7,52.7,1.247,3.0,0,1,10589.2
Hill Zone,Darjeeling,Darjeeling North,Sugarcane,2019,20.35,3573.1,97.0,1.42,19.87,45.0,5.52,0.533,142.7,77.3,56.4,0.596,33.68,0,1,12503.1
Hill Zone,Darjeeling,Darjeeling North,Sugarcane,2020,19.13,2787.3,97.0,2.94,20.78,45.0,6.38,0.693,54.5,73.6,59.3,0.794,18.52,0,0,17974.3
Hill Zone,Darjeeling,Darjeeling North,Sugarcane,2021,20.98,3219.9,97.0,2.27,13.61,45.0,6.46,0.608,113.6,69.2,52.2,0.996,22.56,0,1,17279.8
Hill Zone,Darjeeling,Darjeeling North,Sugarcane,2022,19.25,3229.7,93.4,3.51,14.27,45.0,6.43,0.881,112.5,38.9,61.8,0.97,19.37,0,1,12050.9
Hill Zone,Darjeeling,Darjeeling North,Sugarcane,2023,20.42,3310.8,97.0,1.55,16.94,45.0,7.32,0.737,108.8,77.5,44.1,0.908,19.62,0,1,13381.0
Hill Zone,Darjeeling,Darjeeling North,Sugarcane,2024,20.41,3221.6,97.0,1.84,18.8,45.0,6.11,0.449,124.3,27.3,12.5,0.783,14.55,0,1,13285.2
Hill Zone,Darjeeling,Darjeeling North,Mustard,2000,18.03,3200.7,97.0,2.22,16.8,45.0,6.91,0.842,132.6,10.0,30.8,0.823,19.95,0,1,408.8
Hill Zone,Darjeeling,Darjeeling North,Mustard,2001,20.24,3194.6,97.0,2.76,17.14,45.0,6.68,0.571,69.5,44.7,44.2,0.594,26.29,0,1,469.4
Hill Zone,Darjeeling,Darjeeling North,Mustard,2002,20.64,3331.1,97.0,2.73,21.73,45.0,5.84,0.685,171.6,29.3,54.3,0.922,18.04,0,1,569.2
Hill Zone,Darjeeling,Darjeeling North,Mustard,2003,18.39,3365.2,97.0,1.95,22.88,45.0,6.77,0.7,148.0,62.7,61.9,0.914,24.62,0,1,525.8
Hill Zone,Darjeeling,Darjeeling North,Mustard,2004,21.14,2967.6,97.0,2.98,18.74,45.0,6.66,0.37,71.1,69.1,22.8,1.353,17.15,0,1,578.5
Hill Zone,Darjeeling,Darjeeling North,Mustard,2005,18.89,3225.0,97.0,2.39,17.85,45.0,7.0,0.92,123.2,52.7,20.9,1.116,23.86,0,1,520.1
Hill Zone,Darjeeling,Darjeeling North,Mustard,2006,19.73,3425.2,97.0,3.39,19.15,45.0,6.2,0.583,128.2,40.8,39.6,0.634,18.59,0,1,518.5
Hill Zone,Darjeeling,Darjeeling North,Mustard,2007,19.94,3312.3,97.0,2.82,18.56,45.0,7.21,0.168,107.0,62.0,63.1,0.595,20.9,0,1,519.4
Hill Zone,Darjeeling,Darjeeling North,Mustard,2008,18.41,2690.0,93.7,1.81,20.18,45.0,7.33,0.694,88.2,47.3,29.8,1.04,27.77,0,1,461.0
Hill Zone,Darjeeling,Darjeeling North,Mustard,2009,19.95,2912.3,97.0,4.27,14.01,45.0,7.03,0.289,69.3,38.8,60.7,0.794,17.82,0,1,510.7
Hill Zone,Darjeeling,Darjeeling North,Mustard,2010,19.09,3180.8,97.0,3.44,15.9,45.0,6.27,0.506,131.7,64.5,16.4,0.989,10.71,0,1,493.4
Hill Zone,Darjeeling,Darjeeling North,Mustard,2011,19.86,2930.0,97.0,2.39,24.02,45.0,5.85,0.444,85.0,58.6,46.0,1.212,19.78,0,1,542.3
Hill Zone,Darjeeling,Darjeeling North,Mustard,2012,19.37,3097.2,97.0,3.2,20.55,45.0,5.55,0.501,120.4,11.4,38.8,1.054,15.36,0,1,460.2
Hill Zone,Darjeeling,Darjeeling North,Mustard,2013,20.97,3444.1,97.0,3.57,22.08,45.0,7.77,0.475,103.9,36.3,47.0,0.523,18.66,0,1,528.5
Hill Zone,Darjeeling,Darjeeling North,Mustard,2014,19.29,3063.3,97.0,2.01,21.07,45.0,6.53,0.667,115.4,55.0,34.0,0.745,21.31,0,1,515.3
Hill Zone,Darjeeling,Darjeeling North,Mustard,2015,17.8,2960.1,95.5,2.59,18.67,45.0,6.1,0.662,70.2,10.0,44.8,0.416,12.92,0,1,351.8
Hill Zone,Darjeeling,Darjeeling North,Mustard,2016,19.79,2841.4,97.0,2.28,14.39,43.81,6.65,0.733,134.1,88.4,49.5,0.992,17.76,0,1,585.9
Hill Zone,Darjeeling,Darjeeling North,Mustard,2017,18.73,2910.4,97.0,1.31,18.82,45.0,6.48,0.461,104.7,46.9,29.1,0.889,15.97,0,1,463.7
Hill Zone,Darjeeling,Darjeeling North,Mustard,2018,19.88,2869.2,97.0,2.18,19.29,45.0,6.52,0.454,86.8,39.6,47.6,1.123,24.81,0,1,518.9
Hill Zone,Darjeeling,Darjeeling North,Mustard,2019,19.24,2738.6,82.8,1.99,15.98,42.88,5.51,0.755,85.6,24.6,79.6,0.948,16.37,0,1,516.3
Hill Zone,Darjeeling,Darjeeling North,Mustard,2020,18.33,3471.7,97.0,1.67,17.53,45.0,7.09,0.326,87.4,58.8,53.0,1.192,20.25,0,1,531.9
Hill Zone,Darjeeling,Darjeeling North,Mustard,2021,18.66,3144.8,97.0,2.36,17.03,45.0,6.06,0.418,92.4,26.6,50.1,0.413,30.48,0,1,468.3
Hill Zone,Darjeeling,Darjeeling North,Mustard,2022,20.41,3053.5,97.0,3.42,18.41,45.0,6.02,0.854,84.8,56.1,18.5,0.69,21.07,0,1,509.4
Hill Zone,Darjeeling,Darjeeling North,Mustard,2023,18.73,3281.0,97.0,3.43,10.63,45.0,6.63,0.332,69.7,69.8,28.3,0.694,21.63,0,1,440.4
Hill Zone,Darjeeling,Darjeeling North,Mustard,2024,19.76,2900.5,97.0,3.32,18.81,41.62,6.7,0.651,81.3,79.0,18.2,1.444,14.26,0,1,605.3
Hill Zone,Darjeeling,Darjeeling South,Rice,2000,18.49,3139.6,97.0,3.3,15.16,45.0,6.74,0.585,80.4,36.9,55.4,1.122,13.08,0,1,650.6
Hill Zone,Darjeeling,Darjeeling South,Rice,2001,19.77,2707.6,96.2,2.0,12.59,45.0,6.28,0.925,176.2,50.6,59.5,1.195,14.9,0,1,1113.2
Hill Zone,Darjeeling,Darjeeling South,Rice,2002,20.2,2979.5,97.0,2.36,17.43,45.0,6.74,0.889,97.2,29.3,44.9,0.439,14.2,0,1,1037.1
Hill Zone,Darjeeling,Darjeeling South,Rice,2003,21.01,3149.1,95.5,3.1,11.13,45.0,7.13,0.787,67.1,24.2,56.9,0.869,14.48,0,1,1130.1
Hill Zone,Darjeeling,Darjeeling South,Rice,2004,17.87,2623.2,97.0,2.11,14.84,42.84,6.5,0.479,127.0,49.2,60.3,0.768,14.12,0,0,870.2
Hill Zone,Darjeeling,Darjeeling South,Rice,2005,17.33,3227.9,97.0,1.69,14.74,45.0,6.61,0.504,110.7,25.2,39.7,1.152,27.78,0,1,521.0
Hill Zone,Darjeeling,Darjeeling South,Rice,2006,18.28,3166.8,97.0,2.9,15.59,45.0,6.85,0.497,68.5,63.1,49.6,1.172,18.57,0,1,647.2
Hill Zone,Darjeeling,Darjeeling South,Rice,2007,18.11,2828.3,91.5,2.17,16.4,45.0,5.76,0.63,90.9,80.7,48.1,0.773,22.92,0,1,686.7
Hill Zone,Darjeeling,Darjeeling South,Rice,2008,18.11,3415.7,97.0,3.77,21.31,45.0,6.44,0.425,129.7,55.5,54.4,0.884,13.97,0,1,602.7
Hill Zone,Darjeeling,Darjeeling South,Rice,2009,19.43,3361.0,97.0,2.89,21.99,45.0,6.21,0.419,143.9,58.9,37.5,0.394,17.03,0,1,845.4
Hill Zone,Darjeeling,Darjeeling South,Rice,2010,18.37,2969.5,97.0,1.71,18.03,45.0,5.99,0.477,116.2,52.5,40.9,0.95,19.45,0,1,658.8
Hill Zone,Darjeeling,Darjeeling South,Rice,2011,18.0,3169.7,97.0,3.51,15.37,45.0,6.76,0.637,123.4,69.2,71.1,0.575,21.73,0,1,619.5
Hill Zone,Darjeeling,Darjeeling South,Rice,2012,18.54,3329.8,97.0,1.87,17.06,45.0,5.68,0.815,106.8,57.3,49.5,1.428,18.39,0,1,754.3
Hill Zone,Darjeeling,Darjeeling South,Rice,2013,20.69,2954.5,96.0,1.62,21.12,45.0,6.62,0.677,105.1,40.5,33.0,1.019,18.92,0,1,1250.5
Hill Zone,Darjeeling,Darjeeling South,Rice,2014,18.0,2958.4,93.1,3.53,14.25,45.0,7.1,0.617,130.7,16.6,38.8,0.4,19.21,0,1,585.9
Hill Zone,Darjeeling,Darjeeling South,Rice,2015,18.02,3284.6,97.0,2.22,16.4,45.0,6.3,1.064,88.1,62.0,36.5,1.131,20.81,0,1,669.2
Hill Zone,Darjeeling,Darjeeling South,Rice,2016,16.95,2953.3,97.0,2.41,19.79,45.0,5.47,0.729,118.7,44.3,39.1,0.979,14.7,0,1,509.3
Hill Zone,Darjeeling,Darjeeling South,Rice,2017,18.7,2534.4,92.0,2.17,15.45,45.0,6.15,0.752,141.7,57.1,21.7,0.676,23.64,0,0,1248.7
Hill Zone,Darjeeling,Darjeeling South,Rice,2018,18.08,3050.3,97.0,2.76,19.85,45.0,6.25,0.596,108.7,17.3,41.2,0.496,26.48,0,1,644.3
Hill Zone,Darjeeling,Darjeeling South,Rice,2019,20.82,3255.5,97.0,3.25,17.35,45.0,5.94,0.53,123.2,86.2,44.4,1.563,34.6,0,1,1154.9
Hill Zone,Darjeeling,Darjeeling South,Rice,2020,18.99,2855.5,96.9,2.22,17.75,45.0,6.86,0.698,109.6,56.8,46.6,1.065,18.3,0,1,897.4
Hill Zone,Darjeeling,Darjeeling South,Rice,2021,17.63,3252.7,97.0,2.72,13.76,45.0,6.23,0.1,103.1,65.5,50.5,1.264,21.96,0,1,571.7
Hill Zone,Darjeeling,Darjeeling South,Rice,2022,16.94,2819.4,97.0,3.06,14.91,45.0,6.63,0.27,51.8,50.7,48.5,0.754,4.67,0,1,478.2
Hill Zone,Darjeeling,Darjeeling South,Rice,2023,17.67,3221.9,97.0,2.77,19.87,45.0,6.8,0.894,121.4,78.5,35.5,1.168,19.89,0,1,597.7
Hill Zone,Darjeeling,Darjeeling South,Rice,2024,19.06,2952.5,95.9,2.65,21.12,45.0,6.46,0.357,112.8,75.4,56.9,1.038,15.16,0,1,801.7
Hill Zone,Darjeeling,Darjeeling South,Wheat,2000,18.33,2768.6,89.1,3.25,15.24,45.0,5.69,0.733,74.9,57.9,29.4,0.909,17.36,0,1,1238.8
Hill Zone,Darjeeling,Darjeeling South,Wheat,2001,19.02,3417.1,97.0,3.21,18.22,45.0,7.48,0.218,89.4,22.5,40.2,0.828,40.94,0,1,1222.9
Hill Zone,Darjeeling,Darjeeling South,Wheat,2002,20.44,3369.1,97.0,2.92,22.93,45.0,6.5,0.747,64.9,40.3,49.8,1.059,12.83,0,1,1438.0
Hill Zone,Darjeeling,Darjeeling South,Wheat,2003,18.38,3038.6,97.0,2.67,18.46,45.0,5.87,0.711,62.2,59.6,35.0,0.654,22.13,0,1,1180.3
Hill Zone,Darjeeling,Darjeeling South,Wheat,2004,17.61,2918.4,97.0,4.5,11.64,45.0,6.27,0.835,98.4,10.5,64.5,0.57,17.88,0,1,1092.4
Hill Zone,Darjeeling,Darjeeling South,Wheat,2005,17.37,2957.8,97.0,3.17,16.15,45.0,6.2,0.668,113.9,65.7,35.5,0.853,19.51,0,1,1243.9
Hill Zone,Darjeeling,Darjeeling South,Wheat,2006,17.72,3463.4,97.0,3.11,18.53,45.0,5.3,1.052,102.8,32.5,46.5,1.564,21.2,0,1,1279.4
Hill Zone,Darjeeling,Darjeeling South,Wheat,2007,18.11,3374.5,97.0,2.45,17.03,45.0,6.24,0.905,88.9,40.1,59.5,1.077,7.88,0,1,1426.3
Hill Zone,Darjeeling,Darjeeling South,Wheat,2008,19.35,2928.7,97.0,2.77,16.46,45.0,6.05,0.59,69.4,53.7,22.3,0.913,17.66,0,1,1239.1
Hill Zone,Darjeeling,Darjeeling South,Wheat,2009,19.61,3510.8,97.0,1.63,21.69,45.0,6.36,0.525,108.8,79.2,52.6,0.767,14.17,0,1,1401.4
Hill Zone,Darjeeling,Darjeeling South,Wheat,2010,19.34,3494.2,97.0,2.57,16.75,45.0,6.58,0.753,66.8,35.9,62.3,0.984,21.26,0,1,1370.3
Hill Zone,Darjeeling,Darjeeling South,Wheat,2011,18.32,3172.7,97.0,1.81,17.9,45.0,5.87,0.853,129.8,39.0,44.6,0.877,21.92,0,1,1409.6
Hill Zone,Darjeeling,Darjeeling South,Wheat,2012,17.34,2761.0,97.0,2.65,19.14,45.0,7.14,0.404,141.3,39.8,55.3,1.288,9.94,0,1,1295.1
Hill Zone,Darjeeling,Darjeeling South,Wheat,2013,18.49,3002.0,97.0,1.85,15.04,45.0,6.8,0.531,65.8,95.6,60.8,0.996,12.05,0,1,1327.8
Hill Zone,Darjeeling,Darjeeling South,Wheat,2014,19.09,2849.8,97.0,2.67,19.06,45.0,5.93,0.487,117.2,49.7,40.2,0.983,19.49,0,1,1499.1
Hill Zone,Darjeeling,Darjeeling South,Wheat,2015,18.64,2838.4,97.0,3.59,16.26,45.0,6.21,0.723,116.6,40.0,41.1,1.168,24.63,0,1,1501.1
Hill Zone,Darjeeling,Darjeeling South,Wheat,2016,19.82,2992.9,97.0,3.22,14.44,45.0,5.47,0.569,88.2,33.1,53.0,0.673,16.0,0,1,1282.8
Hill Zone,Darjeeling,Darjeeling South,Wheat,2017,18.12,3389.9,97.0,2.71,14.05,45.0,6.22,0.583,91.8,56.9,67.5,0.851,17.35,0,1,1279.7
Hill Zone,Darjeeling,Darjeeling South,Wheat,2018,21.69,3433.0,97.0,3.06,15.81,45.0,6.49,0.667,83.8,40.7,52.1,0.983,5.76,0,1,1473.7
Hill Zone,Darjeeling,Darjeeling South,Wheat,2019,20.35,2923.1,97.0,1.58,20.36,45.0,5.77,0.582,178.8,43.7,26.0,1.027,19.52,0,1,1647.0
Hill Zone,Darjeeling,Darjeeling South,Wheat,2020,17.64,2709.4,93.6,2.84,18.96,45.0,5.65,0.482,105.2,69.3,51.5,0.767,12.17,0,1,1267.5
Hill Zone,Darjeeling,Darjeeling South,Wheat,2021,20.06,3680.9,97.0,3.69,14.35,45.0,6.05,0.553,83.3,44.9,43.8,0.759,22.06,0,1,1352.6
Hill Zone,Darjeeling,Darjeeling South,Wheat,2022,19.07,3401.3,97.0,2.69,17.85,45.0,6.67,0.487,142.8,82.2,61.5,0.747,8.82,0,1,1387.5
Hill Zone,Darjeeling,Darjeeling South,Wheat,2023,19.26,3255.8,97.0,2.37,22.38,45.0,6.91,0.821,70.0,59.4,36.4,0.613,7.31,0,1,1208.9
Hill Zone,Darjeeling,Darjeeling South,Wheat,2024,19.58,2981.7,97.0,1.85,16.97,45.0,5.63,0.318,122.1,57.1,30.9,0.861,22.08,0,1,1484.7
Hill Zone,Darjeeling,Darjeeling South,Maize,2000,17.45,3208.2,97.0,2.62,22.23,44.1,7.1,0.642,54.0,68.2,60.0,1.247,25.24,0,1,804.8
Hill Zone,Darjeeling,Darjeeling South,Maize,2001,17.63,2965.3,97.0,2.86,16.5,45.0,6.82,0.708,176.6,92.6,27.7,0.724,10.48,0,1,792.6
